fecha_no,latitud,longitud,geometry
2022-06-25,6.240089733974118,-75.6288162930609,POINT (-75.6288162930609 6.240089733974118)
2023-01-07,6.288884649820821,-75.58801692761851,POINT (-75.58801692761851 6.288884649820821)
2022-06-10,6.237052291484029,-75.51253739966987,POINT (-75.51253739966987 6.237052291484029)
2022-04-23,6.253722513075161,-75.51223540917896,POINT (-75.51223540917896 6.253722513075161)
2023-06-01,6.277654435097275,-75.57592493610377,POINT (-75.57592493610377 6.277654435097275)
2022-11-24,6.29861365019564,-75.67117343123272,POINT (-75.67117343123272 6.29861365019564)
2022-08-01,6.205397403611132,-75.67912797312185,POINT (-75.67912797312185 6.205397403611132)
2021-09-23,6.205610784088455,-75.6772927153379,POINT (-75.6772927153379 6.205610784088455)
2022-02-05,6.190717027664532,-75.56749086971665,POINT (-75.56749086971665 6.190717027664532)
2022-10-24,6.2496088575798305,-75.69767206561237,POINT (-75.69767206561237 6.249608857579831)
2022-09-18,6.343180711506014,-75.69548060800294,POINT (-75.69548060800294 6.343180711506014)
2022-03-17,6.335880368064403,-75.71709680931902,POINT (-75.71709680931902 6.335880368064403)
2023-06-01,6.298421970018563,-75.61027853059147,POINT (-75.61027853059147 6.298421970018563)
2022-10-09,6.296893715543165,-75.66268182063556,POINT (-75.66268182063556 6.296893715543165)
2023-03-18,6.288849018500254,-75.57149033440363,POINT (-75.57149033440363 6.288849018500254)
2021-05-23,6.282018650770025,-75.57608630147533,POINT (-75.57608630147533 6.282018650770025)
2023-10-30,6.229213441005797,-75.62392133123194,POINT (-75.62392133123194 6.229213441005797)
2024-07-02,6.324293809449648,-75.68723285234461,POINT (-75.68723285234461 6.324293809449648)
2016-09-24,6.263820956911476,-75.644071621524,POINT (-75.644071621524 6.263820956911476)
2022-09-22,6.272410618965555,-75.62102100477192,POINT (-75.62102100477192 6.272410618965555)
2022-04-06,6.276539105048176,-75.55884964483789,POINT (-75.55884964483789 6.276539105048176)
2024-06-25,6.23628986091376,-75.6346606267473,POINT (-75.6346606267473 6.23628986091376)
2024-11-22,6.201480773184956,-75.64051254579151,POINT (-75.64051254579151 6.201480773184956)
2021-06-14,6.17625858311685,-75.54988527735459,POINT (-75.54988527735459 6.17625858311685)
2023-12-29,6.215780172663757,-75.69568272098358,POINT (-75.69568272098358 6.215780172663757)
2021-06-24,6.285526201037362,-75.64165509328566,POINT (-75.64165509328566 6.285526201037362)
2021-11-04,6.195136652103435,-75.69080682062157,POINT (-75.69080682062157 6.195136652103435)
2022-09-19,6.212918257719345,-75.63831333902603,POINT (-75.63831333902603 6.212918257719345)
2022-03-28,6.223119113937935,-75.49989492690104,POINT (-75.49989492690104 6.223119113937935)
2021-11-04,6.246184217376023,-75.54749906695659,POINT (-75.54749906695659 6.246184217376023)
