fecha_no,latitud,longitud,geometry
2018-01-02,6.308715579798969,-75.67075761323602,POINT (-75.67075761323602 6.308715579798969)
2017-10-27,6.27671437552253,-75.65537529139341,POINT (-75.65537529139341 6.27671437552253)
2016-06-20,6.239647578324827,-75.60946180564885,POINT (-75.60946180564885 6.239647578324827)
2018-11-18,6.3051982977189285,-75.58146322245938,POINT (-75.58146322245938 6.305198297718928)
2017-10-19,6.300838995600953,-75.60820118106516,POINT (-75.60820118106516 6.300838995600953)
2017-10-19,6.253919279344084,-75.53139199129653,POINT (-75.53139199129653 6.253919279344084)
2019-01-17,6.200863064422803,-75.69399978467068,POINT (-75.69399978467068 6.200863064422803)
2018-01-09,6.300703017265796,-75.65385951936936,POINT (-75.65385951936936 6.300703017265796)
2017-11-09,6.183892852091675,-75.67018169341472,POINT (-75.67018169341472 6.183892852091675)
2018-09-13,6.30628236955423,-75.65074973462451,POINT (-75.65074973462451 6.30628236955423)
2018-11-25,6.2066184067340275,-75.67397127328826,POINT (-75.67397127328826 6.206618406734028)
2018-10-06,6.202103515824258,-75.55382732234852,POINT (-75.55382732234852 6.202103515824258)
2019-01-22,6.293918890855151,-75.55740991822039,POINT (-75.55740991822039 6.293918890855151)
2018-09-05,6.323736827088422,-75.69259115552691,POINT (-75.69259115552691 6.323736827088422)
2018-02-02,6.218019541583875,-75.64219881787417,POINT (-75.64219881787417 6.218019541583875)
2018-01-26,6.224414011410818,-75.55810750957555,POINT (-75.55810750957555 6.224414011410818)
2016-06-03,6.185618744393791,-75.57705315889395,POINT (-75.57705315889395 6.185618744393791)
2018-02-02,6.183819739999149,-75.53640953755726,POINT (-75.53640953755726 6.183819739999149)
2018-11-25,6.192852450244776,-75.56198899266786,POINT (-75.56198899266786 6.192852450244776)
2017-12-16,6.253184333687535,-75.52657615750758,POINT (-75.52657615750758 6.253184333687535)
2018-10-08,6.335575744434861,-75.65446139626769,POINT (-75.65446139626769 6.335575744434861)
2016-06-04,6.212151747638118,-75.686045491893,POINT (-75.686045491893 6.212151747638118)
2016-06-17,6.216663612571511,-75.56473526001987,POINT (-75.56473526001987 6.216663612571511)
2017-11-21,6.2354473095971334,-75.52181298858258,POINT (-75.52181298858258 6.235447309597133)
2018-11-17,6.185892165141277,-75.64081401676965,POINT (-75.64081401676965 6.185892165141277)
